name,slug,description,short_description,type,status,visibility,brand_slug,category_slugs,price,compare_at_price,sku,track_inventory,initial_stock,image_url,image_alt
Gel Pen Set,gel-pen-set,"Gel Pen Set designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality gel pen set for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,2.49,3.49,SKU-0083,true,44,https://images.unsplash.com/featured/1200x1200/?gel-pen-set,Gel Pen Set product image
Desk Organizer,desk-organizer,"Desk Organizer designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality desk organizer for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,5.99,7.99,SKU-0084,true,104,https://images.unsplash.com/featured/1200x1200/?desk-organizer,Desk Organizer product image
Sticky Notes Pack,sticky-notes-pack,"Sticky Notes Pack designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality sticky notes pack for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,1.99,2.99,SKU-0085,true,26,https://images.unsplash.com/featured/1200x1200/?sticky-notes-pack,Sticky Notes Pack product image
A4 Document Folder,a4-document-folder,"A4 Document Folder designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality a4 document folder for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,1.49,2.49,SKU-0086,true,89,https://images.unsplash.com/featured/1200x1200/?a4-document-folder,A4 Document Folder product image
Weekly Planner,weekly-planner,"Weekly Planner designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality weekly planner for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,3.49,4.99,SKU-0087,true,100,https://images.unsplash.com/featured/1200x1200/?weekly-planner,Weekly Planner product image
Minimal Desk Pad,minimal-desk-pad,"Minimal Desk Pad designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality minimal desk pad for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,6.99,9.99,SKU-0088,true,114,https://images.unsplash.com/featured/1200x1200/?minimal-desk-pad,Minimal Desk Pad product image
Reusable Shopping Bag,reusable-shopping-bag,"Reusable Shopping Bag designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality reusable shopping bag for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,1.99,2.99,SKU-0089,true,99,https://images.unsplash.com/featured/1200x1200/?reusable-shopping-bag,Reusable Shopping Bag product image
Travel Toiletry Kit,travel-toiletry-kit,"Travel Toiletry Kit designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality travel toiletry kit for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,6.99,9.99,SKU-0090,true,70,https://images.unsplash.com/featured/1200x1200/?travel-toiletry-kit,Travel Toiletry Kit product image
Kids Cotton T-Shirt,kids-cotton-t-shirt,"Kids Cotton T-Shirt designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality kids cotton t-shirt for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,3.99,5.99,SKU-0091,true,82,https://images.unsplash.com/featured/1200x1200/?kids-cotton-t-shirt,Kids Cotton T-Shirt product image
Kids Denim Shorts,kids-denim-shorts,"Kids Denim Shorts designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality kids denim shorts for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,4.99,6.99,SKU-0092,true,104,https://images.unsplash.com/featured/1200x1200/?kids-denim-shorts,Kids Denim Shorts product image
Kids Backpack,kids-backpack,"Kids Backpack designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality kids backpack for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,7.99,10.99,SKU-0093,true,119,https://images.unsplash.com/featured/1200x1200/?kids-backpack,Kids Backpack product image
Kids Water Bottle,kids-water-bottle,"Kids Water Bottle designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality kids water bottle for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,3.49,4.99,SKU-0094,true,85,https://images.unsplash.com/featured/1200x1200/?kids-water-bottle,Kids Water Bottle product image
Kids Sneakers,kids-sneakers,"Kids Sneakers designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality kids sneakers for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,8.99,12.99,SKU-0095,true,54,https://images.unsplash.com/featured/1200x1200/?kids-sneakers,Kids Sneakers product image
Baby Hooded Towel,baby-hooded-towel,"Baby Hooded Towel designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality baby hooded towel for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,5.99,7.99,SKU-0096,true,95,https://images.unsplash.com/featured/1200x1200/?baby-hooded-towel,Baby Hooded Towel product image
Baby Cotton Blanket,baby-cotton-blanket,"Baby Cotton Blanket designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality baby cotton blanket for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,7.99,10.99,SKU-0097,true,125,https://images.unsplash.com/featured/1200x1200/?baby-cotton-blanket,Baby Cotton Blanket product image
Kids Drawing Set,kids-drawing-set,"Kids Drawing Set designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality kids drawing set for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,4.99,6.99,SKU-0098,true,45,https://images.unsplash.com/featured/1200x1200/?kids-drawing-set,Kids Drawing Set product image
Building Blocks Set,building-blocks-set,"Building Blocks Set designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality building blocks set for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,9.99,13.99,SKU-0099,true,112,https://images.unsplash.com/featured/1200x1200/?building-blocks-set,Building Blocks Set product image
Wooden Puzzle,wooden-puzzle,"Wooden Puzzle designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality wooden puzzle for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,4.49,6.49,SKU-0100,true,31,https://images.unsplash.com/featured/1200x1200/?wooden-puzzle,Wooden Puzzle product image
